BindingSite1,BS1_rmsd,BindingSite2,BS2_rmsd,MC1,MC1_rmsd,NM1,NM1_rmsd,MC2,MC2_rmsd,NM2,NM2_rmsd,MC3,MC3_rmsd,NM3,NM3_rmsd,Md1,Md1_rmsd,Md2,Md2_rmsd,Md3,Md3_rmsd,Nd1,Nd1_rmsd,Nd2,Nd2_rmsd,Nd3,Nd3_rmsd,y
-3744,688.1097005565312,-2978,785.971150870056,-3321,877.4260082764816,-4241,1018.8748454139417,-1956,584.731767565266,-2765,677.6803081099524,-3399,543.7425861563539,-2890,392.25637245097124,-4003,945.7857526945521,-4237,1079.2918465364223,-2929,354.52454685252326,-3186,1080.8836015038805,-2363,539.6609676454281,-2487,522.6842354615247,1
-3827,546.2390044659945,-2025,303.33275457820287,-3332,548.1576871667492,-3885,548.2989695412546,-2986,929.3066447626423,-2574,886.1580502370894,-3607,675.7298646648671,-2651,744.3889104493696,-4678,435.1727626280555,-3343,905.4393381457029,-3884,480.7354886005414,-3327,289.94751249148777,-2667,647.8994443584587,-3234,408.0779949960551,0
-6221,505.5282484688652,-4908,607.6932705823818,-5603,344.6763119217821,-6871,936.7712871584185,-5584,751.7984370827043,-5193,288.8388418187709,-6357,611.1774509446603,-6807,599.3323702253964,-7945,1031.7981440184915,-4064,671.6852238958359,-6195,646.840087475593,-6426,584.8231271076719,-6665,1273.9501756348247,-5975,244.92017066789975,0
-1453,486.89345857179063,-1613,413.03578537458446,-3580,600.0831692357323,-3483,310.657049604763,-2864,660.9239366220595,-2715,281.51818768953495,-4087,845.668286031822,-3332,701.190337925445,-2826,448.4730092212919,-2851,671.7120290719824,-3535,847.0951540411497,-3753,782.6238943451697,-1497,1030.2853197051777,-4039,956.2538627372965,0
-4614,972.0864159116719,-4677,617.9712291037546,-6116,390.06384092863664,-6634,791.5903296529083,-5361,830.1356128985591,-5027,555.1050801424884,-6396,912.9099024547854,-6397,625.7613682547099,-6043,894.3717851095283,-6065,949.7765169231997,-5874,544.1049163534549,-6826,877.4104716735891,-5603,562.323652356894,-5737,737.1121013794307,0
-5785,554.5885321569509,-6259,529.6257641014071,-5608,765.762659053051,-6222,691.5876589413627,-4598,624.6791256317101,-5785,302.6987941832584,-6427,436.27899104207427,-6715,600.2242914111382,-6311,630.5166452997114,-6044,1354.5827565875936,-6630,449.4817460142248,-6686,580.9661263791553,-5607,641.1048354208539,-6063,786.4499729798424,0
-3908,253.45137600731155,-3960,459.7580341875488,-6019,999.4606345424519,-5022,505.9576662132875,-3068,398.448252600008,-3584,555.3361594565944,-5594,362.8660221073337,-6580,1004.8782065504242,-5600,907.8645053090231,-5039,1206.3203720405288,-5570,601.6092206083551,-5670,760.9411343855713,-4006,559.5458034628082,-5519,540.7964866749782,0
-4014,736.0653775311009,-1947,447.40296154585315,-3733,617.6284077015885,-3814,335.31054263174946,-2896,681.149359538714,-1698,472.53947983210867,-2893,466.7955548203087,-2540,277.0851364463755,-3339,415.0985425173169,-2351,306.19877530780474,-3381,496.4560806355369,-3400,595.4845086146237,-1910,625.6380822808021,-3082,720.8334342967173,0
-7327,1358.3939929195822,-5702,511.9881736915456,-7676,965.5034380513058,-8195,1107.5118035767075,-5213,795.419417665926,-5576,284.96631813099305,-6675,833.6528114269163,-6213,433.88085922289946,-7418,761.5133879322202,-5403,730.8408911406508,-6811,842.4174662837897,-6532,880.3416155107059,-6089,573.2529633591066,-6964,604.1826639006006,0
-3375,546.503513254946,-2107,400.7359895658655,-4246,776.8098580447825,-4404,649.4764429908142,-2240,385.7939346335035,-3019,401.39472890791757,-2743,642.4346054052677,-3211,375.47617767309987,-4394,571.4527189540714,-4064,1396.9748065015344,-3313,385.25374033803473,-4470,790.3184231687877,-3008,632.9949841823396,-3279,699.7531064597006,0
