score-Bs_1,RMSD-s-Bs_1,RMS-Bs_1,score-Bs_2,RMSD-s-Bs_2,RMS-Bs_2,score-c1_MC,RMSD-s-c1_MC,RMS-c1_MC,score-c1_NM,RMSD-s-c1_NM,RMS-c1_NM,score-c2_MC,RMSD-s-c2_MC,RMS-c2_MC,score-c2_NM,RMSD-s-c2_NM,RMS-c2_NM,score-c3_MC,RMSD-s-c3_MC,RMS-c3_MC,score-c3_NM,RMSD-s-c3_NM,RMS-c3_NM,score-Md_1,RMSD-s-Md_1,RMS-Md_1,score-Md_2,RMSD-s-Md_2,RMS-Md_2,score-Md_3,RMSD-s-Md_3,RMS-Md_3,score-Nd_1,RMSD-s-Nd_1,RMS-Nd_1,score-Nd_2,RMSD-s-Nd_2,RMS-Nd_2,score-Nd_3,RMSD-s-Nd_3,RMS-Nd_3,y
-3744,688.1097005565312,5924.6,-2978,785.971150870056,4904.6,-3321,877.4260082764816,14623.8,-4241,1018.8748454139417,7080.111111111111,-1956,584.731767565266,10279.7,-2765,677.6803081099524,10110.6,-3399,543.7425861563539,11950.666666666666,-2890,392.25637245097124,2289.3333333333335,-4003,945.7857526945521,22490.9,-4237,1079.2918465364223,8105.3,-2929,354.52454685252326,16583.777777777777,-3186,1080.8836015038805,10584.0,-2363,539.6609676454281,8345.2,-2487,522.6842354615247,11903.0,1
-3827,546.2390044659945,9702.7,-2025,303.33275457820287,4032.3,-3332,548.1576871667492,9494.7,-3885,548.2989695412546,4602.4,-2986,929.3066447626423,16946.7,-2574,886.1580502370894,11338.0,-3607,675.7298646648671,3447.7,-2651,744.3889104493696,7583.4,-4678,435.1727626280555,2122.3333333333335,-3343,905.4393381457029,12322.222222222223,-3884,480.7354886005414,8787.3,-3327,289.94751249148777,11841.0,-2667,647.8994443584587,15160.7,-3234,408.0779949960551,10976.7,0
-6221,505.5282484688652,3545.8,-4908,607.6932705823818,13789.333333333334,-5603,344.6763119217821,7580.3,-6871,936.7712871584185,15652.777777777777,-5584,751.7984370827043,16205.5,-5193,288.8388418187709,7477.666666666667,-6357,611.1774509446603,4612.333333333333,-6807,599.3323702253964,3990.4,-7945,1031.7981440184915,11205.4,-4064,671.6852238958359,18083.3,-6195,646.840087475593,6679.111111111111,-6426,584.8231271076719,8891.1,-6665,1273.9501756348247,13306.3,-5975,244.92017066789975,4462.9,0
-1453,486.89345857179063,6123.2,-1613,413.03578537458446,12346.7,-3580,600.0831692357323,11572.6,-3483,310.657049604763,17589.555555555555,-2864,660.9239366220595,13511.0,-2715,281.51818768953495,8857.8,-4087,845.668286031822,6586.9,-3332,701.190337925445,10439.2,-2826,448.4730092212919,13292.8,-2851,671.7120290719824,18568.6,-3535,847.0951540411497,9919.7,-3753,782.6238943451697,16405.9,-1497,1030.2853197051777,11860.6,-4039,956.2538627372965,6850.8,0
-4614,972.0864159116719,8107.8,-4677,617.9712291037546,7064.7,-6116,390.06384092863664,4212.1,-6634,791.5903296529083,12628.8,-5361,830.1356128985591,5404.666666666667,-5027,555.1050801424884,11578.0,-6396,912.9099024547854,14574.3,-6397,625.7613682547099,13157.7,-6043,894.3717851095283,18858.3,-6065,949.7765169231997,10158.0,-5874,544.1049163534549,4307.9,-6826,877.4104716735891,14296.111111111111,-5603,562.323652356894,15399.9,-5737,737.1121013794307,9836.0,0
-5785,554.5885321569509,3386.9,-6259,529.6257641014071,6137.9,-5608,765.762659053051,9544.1,-6222,691.5876589413627,11703.5,-4598,624.6791256317101,4863.8,-5785,302.6987941832584,2346.1,-6427,436.27899104207427,14252.666666666666,-6715,600.2242914111382,10393.3,-6311,630.5166452997114,6366.0,-6044,1354.5827565875936,7015.0,-6630,449.4817460142248,5870.5,-6686,580.9661263791553,6692.0,-5607,641.1048354208539,10976.3,-6063,786.4499729798424,17624.3,0
-3908,253.45137600731155,2825.0,-3960,459.7580341875488,5281.3,-6019,999.4606345424519,14190.3,-5022,505.9576662132875,4019.3,-3068,398.448252600008,5730.7,-3584,555.3361594565944,14559.2,-5594,362.8660221073337,2967.375,-6580,1004.8782065504242,3695.8,-5600,907.8645053090231,10090.6,-5039,1206.3203720405288,5196.5,-5570,601.6092206083551,4095.4444444444443,-5670,760.9411343855713,5231.9,-4006,559.5458034628082,8601.555555555555,-5519,540.7964866749782,12344.7,0
-4014,736.0653775311009,4772.5,-1947,447.40296154585315,3871.3,-3733,617.6284077015885,6921.1,-3814,335.31054263174946,9857.9,-2896,681.149359538714,5051.7,-1698,472.53947983210867,12005.3,-2893,466.7955548203087,4469.6,-2540,277.0851364463755,8320.111111111111,-3339,415.0985425173169,6037.1,-2351,306.19877530780474,11881.6,-3381,496.4560806355369,4661.2,-3400,595.4845086146237,8953.6,-1910,625.6380822808021,7195.4,-3082,720.8334342967173,7563.9,0
-7327,1358.3939929195822,9749.8,-5702,511.9881736915456,5852.7,-7676,965.5034380513058,7251.222222222223,-8195,1107.5118035767075,5967.222222222223,-5213,795.419417665926,10332.8,-5576,284.96631813099305,2452.777777777778,-6675,833.6528114269163,7189.0,-6213,433.88085922289946,5175.6,-7418,761.5133879322202,2450.7,-5403,730.8408911406508,11199.857142857143,-6811,842.4174662837897,5277.75,-6532,880.3416155107059,14230.3,-6089,573.2529633591066,7802.8,-6964,604.1826639006006,8384.444444444445,0
-3375,546.503513254946,9349.8,-2107,400.7359895658655,4357.111111111111,-4246,776.8098580447825,6535.888888888889,-4404,649.4764429908142,5091.5,-2240,385.7939346335035,10295.3,-3019,401.39472890791757,12522.555555555555,-2743,642.4346054052677,9619.111111111111,-3211,375.47617767309987,4542.9,-4394,571.4527189540714,8541.3,-4064,1396.9748065015344,9436.4,-3313,385.25374033803473,7930.777777777777,-4470,790.3184231687877,13505.1,-3008,632.9949841823396,14894.5,-3279,699.7531064597006,5011.0,0
